Grapheme	IPA	Examples	Languages	Frequence	Codepoints
$	NULL				
1	¹	ni1__pɔ55ʔ	BanPhungLaChi	1	U+0031
11	¹¹	ni11_βɔ44, măk11_toːŋ45	BanPhungLaChi, BanDiuLaChi	5	U+0031 U+0031
11$	¹¹	nĩ33_mjã11, βɨ11	BanPhungLaChi	11	U+0031 U+0031 U+0024
21	²¹	khɔn21_nɔ̆k35, măk21_pa35	BanDiuLaChi, NungDinLaChi, BanPhungLaChi	12	U+0032 U+0031
21$	²¹	hen21, o21	NungDinLaChi, BanDiuLaChi	23	U+0032 U+0031 U+0024
212	²¹²	păk212_Ɂăk45	BanDiuLaChi	1	U+0032 U+0031 U+0032
212$	²¹²	dat212, lɯt212	BanDiuLaChi, NungDinLaChi	5	U+0032 U+0031 U+0032 U+0024
23$	²³	măj23, cin23	BanDiuLaChi	2	U+0032 U+0033 U+0024
31	³¹	ka31_răŋ33, phu31_ɲĭŋ33	NungDinLaChi	3	U+0033 U+0031
31$	³¹	ŋaŋ31, cɯ31	NungDinLaChi, BanDiuLaChi	19	U+0033 U+0031 U+0024
323	³²³	khɔ̆n323_thu323, ti323_kɔ̆n33	BanDiuLaChi, NungDinLaChi	9	U+0033 U+0032 U+0033
323$	³²³	laj323, dăj323	NungDinLaChi, BanDiuLaChi, BanPhungLaChi	45	U+0033 U+0032 U+0033 U+0024
33	³³	nĩ33_mjã11, ʔɗaw33_Ɂɗi21	BanPhungLaChi, BanDiuLaChi, NungDinLaChi	38	U+0033 U+0033
33$	³³	saj33, măk35_făn33	BanPhungLaChi, BanDiuLaChi, NungDinLaChi	90	U+0033 U+0033 U+0024
35	³⁵	măk35_făn33, chaŋ35_hɯŋ33	BanDiuLaChi, NungDinLaChi	12	U+0033 U+0035
35$	³⁵	khăp35, khɔn21_nɔ̆k35	BanDiuLaChi, NungDinLaChi, BanPhungLaChi	14	U+0033 U+0035 U+0024
41	⁴¹	păk41_thu33, cɯm41_pak21	BanDiuLaChi	2	U+0034 U+0031
41$	⁴¹	mã41	BanPhungLaChi	1	U+0034 U+0031 U+0024
43	⁴³	ʔɓɤ̆ŋ43_măj35	BanDiuLaChi	1	U+0034 U+0033
43$	⁴³	tɯŋ33_le43, ne43	BanDiuLaChi, NungDinLaChi	3	U+0034 U+0033 U+0024
44	⁴⁴	kɛ44_ʔa44, m̥33_qɛ44_hu11	BanPhungLaChi	7	U+0034 U+0034
44$	⁴⁴	qɛ44, ʔa33_kh_u44	BanPhungLaChi, BanDiuLaChi, NungDinLaChi	24	U+0034 U+0034 U+0024
45	⁴⁵	kɔk45_ho33	NungDinLaChi	1	U+0034 U+0035
45$	⁴⁵	tăp45, ʔɗŭk45	BanDiuLaChi, NungDinLaChi	32	U+0034 U+0035 U+0024
53	⁵³	săm53_se53, ma53_nũ11_khɔ33	BanPhungLaChi	11	U+0035 U+0033
53$	⁵³	pɛ̃53, săm53_se53	BanPhungLaChi	12	U+0035 U+0033 U+0024
545	⁵⁴⁵	kha545_cɔ55ʔ, na545_mɨ55	BanPhungLaChi	6	U+0035 U+0034 U+0035
545$	⁵⁴⁵	mĩ545, ma545	BanPhungLaChi	3	U+0035 U+0034 U+0035 U+0024
55	⁵⁵	mɛ̃55_mɛ55ʔ, kɛ55_nɔ53_kɛ55_ʔa33	BanPhungLaChi	23	U+0035 U+0035
55$	⁵⁵	nf545_nɨ55, m̥55	BanPhungLaChi	4	U+0035 U+0035 U+0024
55ˀ$	ˀ/⁵⁵	ljo55ˀ	BanPhungLaChi	1	U+0035 U+0035 U+02c0 U+0024
^	NULL				
^33$	NULL	33	BanPhungLaChi	1	U+005e U+0033 U+0033 U+0024
^a	a	ai	Vietnamese	1	U+005e U+0061
^b	b	bàn_chân, bɤ33_siw21	Vietnamese, BanDiuLaChi	7	U+005e U+0062
^c	c	cɯ31, cin323	Vietnamese, NungDinLaChi, BanDiuLaChi, BanPhungLaChi	16	U+005e U+0063
^ch	cʰ	cháy, chaŋ35_hɯŋ33	Vietnamese, BanDiuLaChi	8	U+005e U+0063 U+0068
^d	d	dăj323, dat212	Vietnamese, NungDinLaChi, BanDiuLaChi	6	U+005e U+0064
^f	f	făj33	NungDinLaChi, BanDiuLaChi	2	U+005e U+0066
^g	g	giết_, gan	Vietnamese	2	U+005e U+0067
^h	h	hen21, huj21	NungDinLaChi, BanDiuLaChi, Vietnamese	14	U+005e U+0068
^k	k	ka33_tu33, ka44_tu33_zu55ʔ	BanPhungLaChi, NungDinLaChi, BanDiuLaChi, Vietnamese	24	U+005e U+006b
^kh	kʰ	khaw323, kha33	NungDinLaChi, BanDiuLaChi, Vietnamese, BanPhungLaChi	23	U+005e U+006b U+0068
^l	l	lɯt212, laj323	BanDiuLaChi, BanPhungLaChi, NungDinLaChi, Vietnamese	29	U+005e U+006c
^m	m	măk35_făn33, măn33	Vietnamese, BanDiuLaChi, NungDinLaChi, BanPhungLaChi	41	U+005e U+006d
^m̥	m̥	m̥33_la33, m̥33_qɛ44_hu11	BanPhungLaChi	8	U+005e U+006d U+0325
^n	n	nĩ33_mjã11, năŋ31	BanPhungLaChi, Vietnamese, NungDinLaChi, BanDiuLaChi	44	U+005e U+006e
^nh	nh/n̊	nhiều, nhìn	Vietnamese	3	U+005e U+006e U+0068
^o	o	o21	NungDinLaChi, BanDiuLaChi	2	U+005e U+006f
^p	p	păj323, pak45	BanPhungLaChi, NungDinLaChi, BanDiuLaChi	18	U+005e U+0070
^ph	pʰ	pha33_kha45, phɯ21_caj33	NungDinLaChi, BanDiuLaChi, BanPhungLaChi	9	U+005e U+0070 U+0068
^q	q	qo33, qa44	BanPhungLaChi	4	U+005e U+0071
^qh	qʰ	qhi44	BanPhungLaChi	1	U+005e U+0071 U+0068
^r	r	răɯ33, ru33	NungDinLaChi, Vietnamese	5	U+005e U+0072
^s	s	saj33, sao	NungDinLaChi, BanDiuLaChi, BanPhungLaChi, Vietnamese	13	U+005e U+0073
^t	t	tăp45, tăw31	Vietnamese, BanDiuLaChi, BanPhungLaChi, NungDinLaChi	38	U+005e U+0074
^th	tʰ	thaj323, thaŋ323	NungDinLaChi, BanDiuLaChi, BanPhungLaChi, Vietnamese	14	U+005e U+0074 U+0068
^u	u	uống	Vietnamese	1	U+005e U+0075
^v	v	vàng, vỏ_	Vietnamese	2	U+005e U+0076
^x	x	xương, xanh	Vietnamese	2	U+005e U+0078
^z	z	ziw33, zăj33	NungDinLaChi, BanDiuLaChi	5	U+005e U+007a
^ă	ă	ăn33_ʔɗăŋ323, ăn	BanDiuLaChi, Vietnamese	5	U+005e U+0103
^đ	đ/ð	đầu_gối, đất	Vietnamese	15	U+005e U+0111
^ŋ	ŋ	ŋaŋ31	NungDinLaChi, BanDiuLaChi	2	U+005e U+014b
^Ɂ	ʔ	Ɂɓo31, Ɂɗew33	NungDinLaChi, BanDiuLaChi	5	U+005e U+0241
^ɕ	ɕ	ɕo44	BanPhungLaChi	1	U+005e U+0255
^ɬ	ɬ	ɬoŋ33	NungDinLaChi	1	U+005e U+026c
^ɯ̆	ɯ̆	ɯ̆m45	NungDinLaChi	1	U+005e U+026f U+0306
^ɲ	ɲ	ɲã33, ɲa55ʔ	BanPhungLaChi	3	U+005e U+0272
^ɸ	ɸ	ɸɛ55ʔ, ɸu44	BanPhungLaChi	3	U+005e U+0278
^ʑ	ʑ	ʑɔ55ʔ	BanPhungLaChi	1	U+005e U+0291
^ʔ	ʔ	ʔɗăm33, ʔɗŭk45	BanPhungLaChi, NungDinLaChi, BanDiuLaChi	25	U+005e U+0294
^β	β	βɨ11, βa33	BanPhungLaChi	5	U+005e U+03b2
^θ	θ	θõ35	BanDiuLaChi	1	U+005e U+03b8
_	+	ka44_tu33_zu55ʔ, măk35_făn33	BanPhungLaChi, BanDiuLaChi, NungDinLaChi, Vietnamese	100	U+005f
_$	NULL	giết_, đường_	Vietnamese	3	U+005f U+0024
__	+	ʔa33__tɛ33, ca__m̥	BanPhungLaChi	5	U+005f U+005f
a	a	saj33, mak21_pa323	BanPhungLaChi, BanDiuLaChi, NungDinLaChi, Vietnamese	98	U+0061
a$	a	kia, da	Vietnamese	5	U+0061 U+0024
b	b	đàn_bà, ʔa33__bɛ33	Vietnamese, BanPhungLaChi	2	U+0062
c	c	kha545_cɔ55ʔ, tất_cả	NungDinLaChi, BanDiuLaChi, Vietnamese, BanPhungLaChi	7	U+0063
c$	c	nước, ngực	Vietnamese	3	U+0063 U+0024
ch	cʰ	bàn_chân	Vietnamese	1	U+0063 U+0068
e	e	tɯŋ33_le43, ʔɗeŋ323	BanPhungLaChi, BanDiuLaChi, NungDinLaChi, Vietnamese	22	U+0065
e$	e	nghe	Vietnamese	1	U+0065 U+0024
f	f	măk35_făn33, nf545_nɨ55	NungDinLaChi, BanDiuLaChi, BanPhungLaChi	4	U+0066
g	g	đầu_gối, người	Vietnamese	7	U+0067
g$	g	trứng, mặt_trăng	Vietnamese	16	U+0067 U+0024
gh	gh	nghe	Vietnamese	1	U+0067 U+0068
h	h	m̥33_qɛ44_hu11, ăn33_haj323	BanDiuLaChi, NungDinLaChi, BanPhungLaChi	4	U+0068
i	i	ci545_ʔi33, ʔɗaw33_Ɂɗi21	BanPhungLaChi, BanDiuLaChi, Vietnamese, NungDinLaChi	47	U+0069
i$	i	đầu_gối, người	Vietnamese	18	U+0069 U+0024
j	j	saj33, laj323	NungDinLaChi, BanPhungLaChi, BanDiuLaChi	48	U+006a
k	k	măk35_făn33, păk212_Ɂăk45	BanDiuLaChi, NungDinLaChi, BanPhungLaChi	28	U+006b
kh	kʰ	thu33_khăw21, kha35_khɤ̆w21	BanPhungLaChi, BanDiuLaChi, NungDinLaChi	7	U+006b U+0068
l	l	tɯŋ33_le43, m̥33_la33	BanPhungLaChi, BanDiuLaChi, NungDinLaChi	14	U+006c
m	m	năm35_mɔ21, nĩ33_mjã11	BanDiuLaChi, BanPhungLaChi, NungDinLaChi	33	U+006d
m$	m	tim, mồm	Vietnamese	5	U+006d U+0024
m̥	m̥	la33_m̥55ʔ, lɛ33_m̥55	BanPhungLaChi	2	U+006d U+0325
m̥$	m̥	ca__m̥	BanPhungLaChi	1	U+006d U+0325 U+0024
n	n	cĭn323_cĭn323, hen21	BanDiuLaChi, Vietnamese, NungDinLaChi, BanPhungLaChi	70	U+006e
n$	n	nhìn, đen	Vietnamese	10	U+006e U+0024
nh$	nh/n̥	xanh, lạnh	Vietnamese	2	U+006e U+0068 U+0024
o	o	non33, Ɂɓo31	NungDinLaChi, BanPhungLaChi, BanDiuLaChi	20	U+006f
o$	o	sao, to	Vietnamese	5	U+006f U+0024
oː	oː	măk11_toːŋ45	BanDiuLaChi	1	U+006f U+02d0
p	p	khăp35, lɛp45	BanDiuLaChi, NungDinLaChi, BanPhungLaChi	14	U+0070
ph	pʰ	ta21_phũ53, po33_pha323	NungDinLaChi, BanPhungLaChi	2	U+0070 U+0068
q	q	m̥33_qɛ44_hu11	BanPhungLaChi	1	U+0071
r	r	mặt_trăng, trứng	Vietnamese, NungDinLaChi	7	U+0072
s	s	săm53_se53, ăn33_saj31	BanDiuLaChi, BanPhungLaChi	3	U+0073
